V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	Q1	Q2	Q3	Q4	Q35	Q35_TEXT	Q5	Q5_TEXT	Q6	Q8	Q10	Q36	Q33_1	Q33_2	Q33_3	Q33_4	Q33_5	Q33_6	Q33_7	Q33_8	Q33_9	Q33_10	Q33_11	Q33_12	Q33_13	Q33_14	Q33_15	Q33_16	Q33_17	Q33_18	Q33_19	Q33_20	Q33_21	Q33_22	Q33_23	Q33_24	Q33_25	Q33_26	Q33_27	Q33_28	Q33_29	Q33_30	Q37	Q38	Q39	LocationLatitude	LocationLongitude	LocationAccuracy
R_81VHvooGh2Lgp1z	Default Response Set	Anonymous			144.96.121.124	0	4/23/2014 9:54	4/23/2014 10:13	1	1	1	4	1	2		3		1	5	4	2	1	2	1	2	1	2	2	2	2	2	2	2	1	1	2	1	2	2	2	1	2	2	2	1	2	1	1	1	2	1	"Yes, with some supervisors they may voice their opinions in a very negative, sometimes hurtful way, and they may have contributed to me not being as willing to take risks, or stand up as strongly as I should for projects"	"Better training for supervisors on the impact they have on their employees, the acknowledgment that some people do have this fear and it may not be as comfortable for them to voice opinions.  Scholarly articles and surveys like this bring the topic more to light."	"Some personality traits of especially older more traditional professionals in this field could impact this fear, supervisors should always approach evaluations as a way to improve as opposed to a stick to punish.  As a superivsor that is the direction I go to try to help my librarians not have the fear of a negative evaluation."	31.69949341	-94.60739899	-1
R_4TND6kVgjDcfsYl	Default Response Set	Anonymous			140.141.130.7	0	4/23/2014 10:03	4/23/2014 10:13	1	1	1	2	1	2		3		2	1	8	2	1	1	1	1	1	1	2	2	1	2	2	2	1	1	2	1	1	1	1	1	2	1	2	1	1	2	2	1	2	1	"I work very hard to do well. Sometimes I work hard so that others will know I'm doing well, not because I want to. I feel a lot of pressure (self-inflicted) to be better than others so that I will be evaluated well."	A lot of my fear stems from lack of communication. Having only one evaluation a year with no chats or side comments to suggest I'm doing well puts a lot of pressure on that one evaluation. We tend to only communicate when someone isn't doing well and don't reward success.	I've started writing my accomplishments at the end of each month - work and professional development accomplishments (the type of things I'd report on my evaluation). It eases the fear a little to see the successes pile up.	40.08670044	-82.5460968	-1
R_bknzy4CXtDXGpr7	Default Response Set	Anonymous			129.2.100.225	0	4/23/2014 10:07	4/23/2014 10:14	1	1	2	2	1	2		3		2	3	8	3	1	1	2	1	2	1	2	2	2	1	1	1	2	2	1	1	1	1	1	2	1	2	2	2	2	2	2	1	1	2	No			39.0007019	-76.97299957	-1
R_a5fG1GoQXjSWUqp	Default Response Set	Anonymous			128.193.163.16	0	4/23/2014 10:09	4/23/2014 10:15	1	1	1	4	1	2		1		2	6	10	2	1	1	2	2	2	2	1	2	1	2	2	2	2	2	2	1	1	2	1	2	2	1	2	1	1	2	2	1	2	2	It has made me cautious of taking opportunities	Include a system of informal and formal positive feedback; negative feedback should be specific and have a path to improvement	"Depending on the level of anxiety, counseling or medications may help"	44.56419373	-123.2789993	-1
R_9Nto2a9OgFRAPGJ	Default Response Set	Anonymous			134.129.193.199	0	4/23/2014 10:08	4/23/2014 10:16	1	1	1	3	1	2		3		2	4	8	2	1	1	1	2	1	2	1	2	1	2	2	1	1	1	2	2	2	1	1	1	2	1	2	1	1	2	1	2	1	1	"Hesitant to share with peers because they seem judgmental rather than supportive. However I always ""do well"" with superiors."			47.87190247	-97.15029907	-1
R_beKiKy9pOrdY3vn	Default Response Set	Anonymous			130.126.38.128	0	4/23/2014 10:05	4/23/2014 10:17	1	1	1	2	5	2		2		2	3	6	2	1	1	2	1	2	2	2	1	2	1	2	2	2	2	2	1	1	1	1	2	1	2	1	1	2	1	1	2	2	1	"I don't think that I was ever ""afraid"" of negative evaluations but I was ""concerned"". However almost all work evaluations I received were constructive and fair. "	"Libraries should foster an open, healthy, and frequent communication between evaporators and evaluatees. "		40.10949707	-88.21230316	-1
R_3Ww7PUXq7LGRGjr	Default Response Set	Anonymous			69.219.216.130	0	4/23/2014 10:11	4/23/2014 10:17	1	1	1	3	1	6	GSLIS administration	2		1	2	3	2	1	1	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	1	2	2	2	2	2	1	2	2	1	2	2	2	I do not; most of my supervisors have been fair evaluators.	"Involve a third party in the evaluations (HR professional, coworker at same level, etc.) and/or do more ""360 degree""-type evaluations where peer, direct report, and patron opinions count."	"Know yourself (get an outside career counselor's assessment if necessary) and know the difference between constructive criticism from a supervisor (EVERYONE gets it, and needs it; no one is perfect and it shouldn't be taken personally) versus mean-spirited, biased, or unfair criticism."	41.94630432	-87.81269836	-1
R_09xDWOaXLr5sXsN	Default Response Set	Anonymous			35.24.105.26	0	4/23/2014 10:01	4/23/2014 10:18	1	1	1	1	1	2		1		2	1	11	2	1	1	2	2	2	1	2	2	2	1	2	2	2	2	1	1	2	1	2	2	2	1	1	1	2	1	1	2	2	2	No - I try not to worry about an evaluation before I receive it and know what it says.	Add informal evaluations throughout the year with your immediate supervisor.  Find a colleague to mentor you and discuss ways to handle the fear.		46.62879944	-87.479599	-1
R_3BJZPbHiC6hNo6p	Default Response Set	Anonymous			150.131.169.30	0	4/23/2014 10:13	4/23/2014 10:19	1	1	1	2	1	2		2		1	4	5	2	1	2	1	2	1	2	2	2	2	2	2	1	2	2	1	1	2	1	2	2	2	2	1	2	2	1	1	2	2	1	no	make the process more transparent; build in official responses or appeals; evaluate more frequently	realize that no one really cares about what you do (I mean that in the most freeing and positive sense!); you are probably doing just fine	47.11599731	-114.0497971	-1
R_25eOdz0snEgtrwN	Default Response Set	Anonymous			129.174.54.149	0	4/23/2014 10:08	4/23/2014 10:21	1	1	1	4	1	2		5	Head of an office offering specific services	2	2	8	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	1	2	2	2	no	Have their supervisors and directors undergo annual evaluations by those whom they directly supervise. Hold upper level personnel accountable for their actions and the ways in which they manage or lead.	"Seek counseling if it is a paralyzing and unjustified fear. Otherwise, work with someone you trust in HR and record inappropriate behaviors and false accusations. A written and verbal record of behaviors will provide your ""proof"" that you are being unfairly treated. Tell someone immediately about incidents that are indicative of a pattern of unfair or potentially intimidating behaviors."	38.83569336	-77.33750153	-1
R_3wU9wWU5tMdL3Br	Default Response Set	Anonymous			140.180.248.32	0	4/23/2014 10:20	4/23/2014 10:27	1	1	1	4	1	2		2		1	6	4	2	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	1	2	2	1	1	2	2	2	No.	"Make it ok for people to make mistakes when they try new things. Give constructive feedback throughout the year, not on evaluations."	Become very good at telling your own story in your evaluation personal statement. don't be defensive when receiving feedback.	40.37559509	-74.65969849	-1
R_9TFspns98GWAXY1	Default Response Set	Anonymous			66.99.61.254	0	4/23/2014 10:21	4/23/2014 10:28	1	1	1	5	1	1		3		2	7	8	2	1	2	2	2	1	2	2	2	2	1	2	2	1	1	2	1	2	1	2	2	2	1	2	2	1	2	1	2	2	1	no	increase informal evaluations for everyone	try to remember that the negative person might just be a negative person - it has little to do with you	42.0092926	-88.09259796	-1
R_9ZiIr6f9TGvGOjP	Default Response Set	Anonymous			147.253.45.117	0	4/23/2014 10:23	4/23/2014 10:28	1	1	2	2	1	2		2		1	3	4	2	1	2	2	1	1	2	2	1	2	1	2	2	2	2	1	1	2	1	2	2	1	2	1	2	2	1	1	2	2	2	"No. I do what I do and I am who I am. If that is not appreciated, then I should work elsewhere or not associate with that person."	"Deliver the feedback in a way that it will be received. No need to be overly critical or nasty, just express what went wrong/lacking and how it can be fixed."	Negative evaluations of your work are not personal judgments or attacks. Learn to separate the two and you will be better off. You also need negative feedback to improve and become better at what you do.	29.04530334	-81.39759827	-1
R_bfiC5Ui5wq18RCt	Default Response Set	Anonymous			24.248.44.101	0	4/23/2014 10:26	4/23/2014 10:30	1	1	1	2	1	2		3		1	1	5	1	1	2	2	1	1	2	2	1	1	1	1	2	2	1	2	1	2	1	2	1	2	2	2	1	1	1	1	2	2	1	No	regular informal evaluations and face to face conversations with supervisors	"Be open to criticism and self-evaluation, but also be prepared to justify yourself if you feel you're in the right. "	38.80479431	-77.04689789	-1
R_exki89GHe0l3Q0J	Default Response Set	Anonymous			67.66.219.252	0	4/23/2014 10:33	4/23/2014 10:38	1	1	2	3	1	2		5	Special Collections	1	1	8	2	1	1	1	2	2	1	2	2	2	2	1	2	2	2	2	1	2	1	2	2	2	2	2	1	2	2	1	2	2	2	"No.  Our university evaluations are a joke, and as far as I know are not even reviewed closely by Human Resources--they are only concerned if they are completed or not. "	"Attitudes and working environments start at the top.  Change the administration's attitudes and the general workplace environment will fall into place, minimizing fear of negative evaluations."	Don't take anything personally--take your job seriously but yourself?  Not so much.  :)	29.76330566	-95.36329651	-1
R_cuzPjll1MYgRL8N	Default Response Set	Anonymous			198.109.30.215	0	4/23/2014 10:37	4/23/2014 10:41	1	1	1	3	1	2		3		2	3	8	2	1	2	1	2	2	2	2	1	1	1	1	2	1	1	2	2	1	2	2	2	1	2	1	1	1	1	2	1	2	1	no	none	no	42.42790222	-83.14360046	-1
R_8AiC5AgeiM0pLnL	Default Response Set	Anonymous			208.87.72.38	0	4/23/2014 10:37	4/23/2014 10:43	1	1	1	3	1	2		1		2	2	8	2	1	2	2	2	2	2	2	2	1	2	2	2	2	1	2	2	1	2	2	1	2	1	2	1	1	1	1	2	1	1	"Yes, sometimes I worry that I'll lose my job because of a negative evaluation and I will try to get more accomplished."	Try to emphasize the positive in an evaluation. 	No.	36.28239441	-88.73809814	-1
