ResponseID	FNEINDEX
R_3mZgjEgwenxdnaB	24
R_bDtyaDZHcklAUpn	27
R_bO6GrIWYiyf3n7f	17
R_b19TZf5Zu4JKfl3	13
R_d0Sk63X4FJjCNwh	16
R_cOQIFaRvwsoKGHj	14
R_0wTxTLM29Es6qB7	21
R_1TDPIo02wgPoI4t	19
R_4NRXrrfqR2ACasR	30
R_ctP0HACiXcuAuvX	25
R_55zIDxCPcKt52br	24
R_ePcacetRVPHEE3b	29
R_79yPJ4evYQwSPFH	23
R_7QauJMC9bIJaXgF	20
R_0CZcHKIfwDU0R9j	22
R_aWqh6o312UodoA5	16
R_d5SoHpZHS7vVW4d	29
R_0O5iRkFFy9eWIvj	30
R_cvesdDxL6E3CJPD	20
R_0cAfYeqAtpzybjL	29
R_aXHn7KDSazzXuKx	29
R_ehzbuH8JxLkUVNj	30
R_1SVVP9281Br1wyN	23
R_e5UIRgSEs2Gwmix	29
R_9H0BLjHvmOpUu8Z	24
R_0ob3pVC44qJa3Nb	30
R_55fY8vY6T13RYWh	23
R_0Gm8Ml5T5yFWjQh	24
R_2cz1aheoIIaw8wR	26
R_4JBaLRQD3jKyWDH	19
R_d5qJf1xyG5Gs7qJ	23
R_cPcKvJhclLdahtb	3
R_eLNxfaRcQZB1Qbj	24
R_1WU1OI1BG3L3GW9	25
R_af54qJ5YuYGrsB7	12
R_57TvQzofc6ZkqIR	24
R_ePq914N7OLFqzMF	20
R_8HwDlsv4B91jRMF	22
R_ebubsrlBIA3Ol9j	20
R_4NjsOlMY6E9EMzH	23
R_0oIE6tJ8FBA7z01	17
R_5BV14AIApYngRvL	9
R_bCoKpxEuCMOvW2F	18
R_e2toglKxXhkSaCF	27
R_erKQPZNmvjcpg2x	29
R_3J0yijhoB6hZ12d	19
R_25iduNg6qmcNap7	17
R_cIN5NAHXE8u7oMd	28
R_cACgOIeGV6Nue1v	28
R_87VkyWMJIgQKcYJ	30
R_7OrVk6lK2DU6wUR	9
R_cC6mF50lCn9DlL7	23
R_6mLlyJw2OUZqUAt	27
R_cOxFyxF8Hx35Agt	30
R_bmtOUFhn5YtWqLH	21
R_bsFMryJ6Cxtlf5X	25
R_agfvcY7dbJgpchf	30
R_7QEfBixzp6y18cl	29
R_1HvA8NlctT4qTiJ	26
R_0eUhkcyc2aOOhJX	14
R_3VmbotF8L1MDuGF	29
R_9nleQX4bwDHCqQl	22
R_2tRBx1S5SZZ80Gp	30
R_d6ApBIDJvfcmarj	30
R_eyCGYuyMQAKXolT	29
R_9nqETq3QvHQJ0VL	18
R_250cEAQuNzxsCTX	13
R_0upEiAWihTS4buB	12
R_9ZklLUmoj2QsFUx	23
R_eXLQFlt6RSU5KYt	16
R_8nSHOaOyyvQXxvD	29
R_26oOH5lMWqgDUu9	24
R_bjbcU5hykhieRfL	16
