Rank	Country	ExternalDebtUSD	Date	PercapitaUSD	 PctGDP	Continent
46	Qatar	71380000000	31 December 2010 est.	51856	75	A
47	New Zealand	1.91008E+11	Dec-10	33418	127	A
48	Malaysia	62820000000	31 December 2010 est.	1738	25	A
49	Philippines	61850000000	31 December 2010 est.	576	33	A
49	Colombia	61777400000	3rd quarter of 2010	1052	21	S
50	Croatia	59700000000	31 December 2010 est.	13390	94	E
51	Slovakia	59330000000	30-Jun-10	9706	55	E
52	Pakistan	57210000000	31 December 2010 est.	318	31	A
53	Kuwait	56810000000	31 December 2010 est.	9191	29	A
54	Venezuela	55610000000	31 December 2010 est.	1517	13	S
55	Iraq	52580000000	31 December 2010 est.	1610	76	A
56	Slovenia	51570000000	30-Jun-10	27282	112	E
57	Malta	41020000000	30-Jun-10	9080	45	E
58	Sudan	37980000000	31 December 2010 est.	927	66	F
59	Latvia	37280000000	31 December 2010 est.	16811	145	E
60	Bulgaria	36150000000	31 December 2010 est.	6511	105	E
61	Lebanon	34450000000	31 December 2010 est.	5473	63	A
62	Vietnam	33450000000	31 December 2010 est.	355	34	A
63	Peru	33290000000	31 December 2010 est.	1032	24	S
64	Cyprus	32860000000	31 December 2008 est.	41648	129	E
65	Serbia	32310000000	31 December 2010 est.	4297	74	E
66	Egypt	30610000000	31 December 2010 est.	371	15	F
67	Lithuania	27600000000	31 December 2010 est.	10924	98	E
68	Belarus	24800000000	31 December 2010 est.	3007	57	A
69	Bangladesh	24460000000	31 December 2010 est.	141	25	A
70	Morocco	22690000000	31 December 2010 est.	633	22	F
71	Estonia	22125000000	31 December 2010 est.	16510	114	E
72	Singapore	21660000000	31 December 2010 est.	4042	11	A
73	Cuba	19750000000	31 December 2010 est.	1698	34	S
74	Tunisia	18760000000	31 December 2010 est.	1500	39	F
75	Monaco	18000000000	2000 est.	565043		E
76	Angola	17980000000	31 December 2010 est.	741	19	F
77	Sri Lanka	17970000000	31 December 2010 est.	961	47	A
78	Guatemala	17470000000	31 December 2010 est.	534	20	S
79	Ecuador	14710000000	31 December 2010 est.	941	23	S
80	Bahrain	14680000000	31 December 2010 est.	10462	54	A
81	Panama	13850000000	31 December 2010 est.	3475	49	S
82	Uruguay	13390000000	31 December 2010 est.	3770	40	S
83	Dominican Republic	13090000000	31 December 2010 est.	1312	25	S
84	Iran	12840000000	31 December 2010 est.	166	3.7	A
85	Jamaica	12660000000	31 December 2010 est.	4260	97	S
86	Korea North	12500000000	2001 est.	582		A
87	Cote d'Ivoire	11600000000	31 December 2010 est.	565	54	F
88	El Salvador	11450000000	31 December 2010 est.	1976	55	S
89	Nigeria	11020000000	31 December 2010 est.	64	6	F
90	Costa Rica	9126000000	31 December 2010 est.	1744	27	S
91	Oman	8829000000	31 December 2010 est.	2522	14	A
92	Bosnia and Herzegovina	7996000000	31 December 2010 est.	2102	49	E
93	Kenya	7935000000	31 December 2010 est.	215	24	F
94	Syria	7682000000	31 December 2010 est.	374	15	A
95	Tanzania	7576000000	31 December 2010 est.	174	32	F
96	Yemen	7147000000	31 December 2010 est.	264	25	A
97	Burma	7145000000	31 December 2010 est.	123	27	A
98	Ghana	6483000000	31 December 2010 est.	253	38	F
99	Libya	6378000000	31 December 2010 est.	1025	11	F
100	Bolivia	6130000000	31 December 2010 est.	523	30	S
101	Zimbabwe	5772000000	31 December 2010 est.	496	132	F
102	Jordan	5522000000	31 December 2010 est.	1121	29	A
103	Macedonia	5520000000	31 December 2010 est.	2648	59	E
104	Armenia	5227000000	30-Jun-10	1368	51	E
105	Mauritius	5043000000	31 December 2010 est.	3565	52	F
106	Congo Republic of the	5000000000	2000 est.	1722	155	F
107	Turkmenistan	5000000000	2009 est.	934	31	A
108	Mozambique	4990000000	31 December 2010 est.	197	42	F
109	Nepal	4500000000	2009	161	36	A
110	Paraguay	4346000000	31 December 2010 est.	513	22	S
111	Cambodia	4338000000	31 December 2010 est.	298	38	A
112	Trinidad and Tobago	4303000000	31 December 2010 est.	1589	10	S
113	Congo Democratic Republic of the	4300000000	2009 est.	164	100	F
114	Ethiopia	4289000000	31 December 2010 est.	51	13	F
115	Uzbekistan	4236000000	31 December 2010 est.	130	11	A
116	Moldova	4146000000	31 December 2010 est.	1113	73	E
117	Algeria	4138000000	31 December 2010 est.	97	2	F
118	Nicaragua	4030000000	31 December 2010 est.	743	76	S
119	Senegal	3885000000	31 December 2010 est.	216	22	F
120	Kyrgyzstan	3738000000	30-Jun-10	653	68	A
121	Honduras	3540000000	31 December 2010 est.	423	23	S
122	Zambia	3495000000	31 December 2010 est.	277	25	F
123	Georgia	3381000000	31-Dec-09	771	31	A
124	Cameroon	3344000000	31 December 2010 est.	147	13	F
125	Azerbaijan	3221000000	31 December 2010 est.	269	6	A
126	Liberia	3200000000	2005 est.	930	606	F
127	Laos	3085000000	2009 est.	484	55	A
128	Guinea	3072000000	31 December 2009 est.	290	70	F
129	Somalia	3000000000	2001 est.	393		F
130	Madagascar	2973000000	31 December 2010 est.	99	24	F
131	Benin	2894000000	31 December 2009 est.	135	22	F
134	Uganda	2888000000	31 December 2010 est.	62	13	F
135	Mali	2800000000	2002	240	84	F
136	Afghanistan	2700000000	2008	96	23	A
137	Gabon	2374000000	31 December 2010 est.	2078	28	F
138	Namibia	2373000000	31 December 2010 est.	569	13	F
139	Botswana	2222000000	31 December 2010 est.	910	14	F
140	Niger	2100000000	2003 est.	178	79	F
141	Burkina Faso	2002000000	31 December 2010 est.	128	23	F
142	Tajikistan	1997000000	31 December 2010 est.	260	34	A
143	Mongolia	1860000000	2009	690	44	A
144	Chad	1749000000	31 December 2008 est.	177	27	F
145	Sierra Leone	1610000000	2003 est.	311	163	F
146	Albania	1550000000	2004	497	21	E
147	Papua New Guinea	1548000000	31 December 2010 est.	366	29	A
148	Seychelles	1374000000	31 December 2010 est.	14706	163	F
149	Malawi	1213000000	31 December 2010 est.	78	24	F
150	Burundi	1200000000	2003	167	202	F
151	Central African Republic	1153000000	2007 est.	270	68	F
	West Bank	1300000000	2007 est.	552		A
152	Belize	1010000000	2009 est.	2982	70	S
153	Guinea-Bissau	941500000	2000 est.	722	203	F
154	Bhutan	836000000	2009	1239	66	A
155	Equatorial Guinea	832000000	31 December 2010 est.	136	1	F
156	Guyana	804300000	30-Sep-08	1049	42	S
157	Barbados	668000000	2003	2456	25	S
158	Montenegro	650000000	2006	939	24	E
159	Lesotho	647000000	31 December 2010 est.	233	36	F
160	Maldives	589000000	2009 est.	1707	43	A
161	Gambia The	530000000	31 December 2010 est.	438	170	F
162	Suriname	504300000	2005 est.	1011	28	S
163	Swaziland	497000000	31 December 2010 est.	520	18	F
164	Haiti	494000000	31 December 2010 est.	48	7	S
165	Saint Vincent and the Grenadines	479000000	2010	2084	54	S
	Aruba	478600000	2005 est.	4935	21	S
166	Djibouti	428000000	2006	573	56	F
167	Antigua and Barbuda	359800000	Jun-06	4388	36	S
168	Grenada	347000000	2004	3402	74	S
169	Bahamas The	342600000	2004 est.	1067	6	S
170	Cape Verde	325000000	2002	722	53	F
171	Sao Tome and Principe	318000000	2002	2193	349	F
172	Saint Kitts and Nevis	314000000	2004	6408	79	S
173	Eritrea	311000000	2000 est.	87	44	F
174	Saint Lucia	257000000	2004	1586	32	S
176	Comoros	232000000	2000 est.	420	115	F
177	Dominica	213000000	2004	3000	75	S
178	Samoa	177000000	2004	994	47	A
179	Solomon Islands	166000000	2004	355	44	A
	Bermuda	160000000	FY99/00	2560		S
	Cook Islands	141000000	1996 est.	7756		A
180	Fiji	127000000	2004 est.	150	5	A
181	Marshall Islands	87000000	2008 est.	1377	54	A
182	Vanuatu	81200000	2004	383	22	A
183	Tonga	80700000	2004	791	33	A
	New Caledonia	79000000	1998 est.	404		A
	Cayman Islands	70000000	1996	2078		S
	Faroe Islands	68100000	2006	1409		E
184	Micronesia Federated States of	60800000	FY05 est.	563		A
	Greenland	58000000	2009	1007		E
	British Virgin Islands	36100000	1997	1897		S
185	Nauru	33300000	2004 est.	2599		A
186	Kiribati	10000000	1999 est.	120	14	A
	Montserrat	8900000	1997	14958		S
	Anguilla	8800000	1998	818		S
	Wallis and Futuna	3670000	2004	244		A
	Niue	418000	2002 est.	196		A
187	Brunei	0	2005	0	0	A
188	Liechtenstein	0	2001	0		E
	Macau	0	2009	0	0	A
189	Palau	0	FY99/00	0		A
